交通 运输	准予泰州市高港区许庄街道三旗营社区居家养老服务站变更登记决定书	0
交通 运输	行政许可决定书	0
交通 运输	防雷装置设计审核行政许可决定书	0
交通 运输	中华人民共和国内河船舶检验证书	0
交通 运输	商品房预售许可	0
交通 运输	关于准予宿迁桐昆宏阳印染有限公司7亿米布料生产线项目取水的行政许可决定	0
交通 运输	扬州迎宾馆经营管理有限公司特殊工时许可	0
交通 运输	中华人民共和国港口经营许可证	1
交通 运输	建设项目选址意见书	0
交通 运输	城市建筑垃圾和工程渣土处置许可	0
交通 运输	交通行政许可申请许可决定书	1
交通 运输	户外广告设置证	0
交通 运输	食品经营许可	0
交通 运输	准予许可决定书	0
交通 运输	高危险性体育项目经营许可	0
交通 运输	准予变更行政许可决定书	0
交通 运输	农作物种子生产经营许可证	0
交通 运输	建筑垃圾弃置场地设置审批	0
交通 运输	特殊建设工程消防设计审查意见书	0
交通 运输	关于同意南京睿和祥拍卖有限公司经营拍卖业务的批复	0
交通 运输	建设工程施工许可证核发	0
交通 运输	医疗器械生产许可证	0
交通 运输	关于同意苏州市科幻针纺织品有限公司办理埃塞俄比亚子公司变更业务的备案	0
交通 运输	关于苏州新浒投资发展有限公司 苏州高新区迪卡侬周边道路工程 项目建议书的批复...	0
交通 运输	建设用地规划许可证	0
交通 运输	建设工程消防设计审查意见书	0
交通 运输	市交通运输局关于长三角一体化宜兴连接线—S262武进段（南环线—宜兴界）工程鑫和泰大	1
交通 运输	新建车间（办公楼）及生产附属用房工程	0
交通 运输	关于车辆许可决定书	1
交通 运输	关于业户许可决定书	1
交通 运输	店招标牌	0
交通 运输	关于扬州市江都区针织总厂安置区项目水土保持方案的行政许可决定	0
交通 运输	准予行政许可决定书	0
交通 运输	准予行政许可书面决定	0
交通 运输	增值税专用发票（增值税税控系统）最高开票限额审批	0
交通 运输	准予变更税务行政许可决定书	0
交通 运输	交通行政许可决定书	1
交通 运输	药品补充申请备案件	0
交通 运输	关于对扬州禾谷牧业有限公司“生猪规模养殖项目”环境影响报告书的批复	0
交通 运输	关于同意部分工作岗位实行特殊工时工作制的批复	0
交通 运输	危险化学品经营许可	0
交通 运输	关于东海县云栾图书店的设立许可	0
交通 运输	关于准予江苏桐昆恒阳化纤有限公司智能化产业项目取水的行政许可决定	0
交通 运输	社会团体登记证书	0
交通 运输	船舶检验证书	1
城市 管理	建筑垃圾弃置场地设置审批	1
城市 管理	准予泰州市高港区许庄街道三旗营社区居家养老服务站变更登记决定书	0
城市 管理	防雷装置设计审核行政许可决定书	0
城市 管理	苏州市姑苏区应急管理局《危险化学品经营许可证》准予颁发决定书	0
城市 管理	中华人民共和国内河船舶检验证书	0
城市 管理	商品房预售许可	0
城市 管理	关于准予宿迁桐昆宏阳印染有限公司7亿米布料生产线项目取水的行政许可决定	0
